Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS
2024-07-19,1291.2464599609375,792.9320068359375,1228.5130615234375,363.90045166015625,113.22898864746094,856.4069213867188
2024-07-22,1281.4049072265625,810.3218994140625,1221.1341552734375,351.1051940917969,114.83251953125,844.3218383789062
2024-07-23,1262.1712646484375,798.407958984375,1206.96630859375,353.3725891113281,114.43406677246094,831.8997192382812
2024-07-24,1238.1917724609375,791.3286743164062,1203.2767333984375,348.8377990722656,113.26786041259766,820.4404907226562
2024-07-25,1174.8958740234375,797.5199584960938,1178.58154296875,354.6211242675781,114.4049072265625,817.070068359375
2024-07-26,1176.3446044921875,798.2846069335938,1187.7314453125,362.3522033691406,116.57210540771484,830.50341796875
2024-07-29,1169.0509033203125,791.822021484375,1193.142822265625,358.3668212890625,123.42357635498047,839.3143920898438
2024-07-30,1169.0009765625,797.001953125,1189.9451904296875,356.8086242675781,121.97554016113281,840.469970703125
2024-07-31,1165.104248046875,797.1005859375,1195.307373046875,361.16357421875,120.45946502685547,840.0848388671875
2024-08-01,1171.299072265625,808.471923828125,1190.584716796875,358.1170959472656,119.48762512207031,830.696044921875
2024-08-02,1159.8587646484375,818.5111694335938,1177.2532958984375,360.2746276855469,116.87338256835938,816.4441528320312
2024-08-05,1132.5321044921875,797.1005859375,1153.689453125,354.3215026855469,110.73136138916016,781.5850830078125
2024-08-06,1125.138427734375,789.922607421875,1148.0322265625,353.7021789550781,110.60501861572266,768.15185546875
2024-08-07,1135.829345703125,800.9238891601562,1153.5418701171875,354.90081787109375,112.66532135009766,778.6962890625
2024-08-08,1137.17822265625,810.3958740234375,1145.8184814453125,354.1416931152344,110.8091049194336,778.1184692382812
2024-08-09,1141.774169921875,814.0958251953125,1152.70556640625,353.52239990234375,112.0239028930664,793.7665405273438
2024-08-12,1163.305908203125,818.9798583984375,1163.8199462890625,354.10174560546875,111.37277221679688,782.4998779296875
2024-08-13,1158.6097412109375,790.9092407226562,1159.4039306640625,350.0064697265625,111.08122253417969,768.0073852539062
2024-08-14,1152.1153564453125,793.1786499023438,1152.7552490234375,349.1773986816406,110.37177276611328,773.2555541992188
2024-08-16,1165.8536376953125,805.1666259765625,1178.1591796875,355.0506286621094,109.85670471191406,782.0184326171875
2024-08-19,1152.2652587890625,804.895263671875,1166.8961181640625,355.8597106933594,111.96559143066406,783.5592041015625
2024-08-20,1167.002685546875,807.9292602539062,1170.4189453125,360.714111328125,114.04532623291016,789.9146728515625
2024-08-21,1173.397216796875,802.0586547851562,1165.8541259765625,362.17242431640625,113.13180541992188,785.3406372070312
2024-08-22,1168.950927734375,804.77197265625,1181.979736328125,363.8804626464844,114.05504608154297,789.9146728515625
2024-08-23,1164.954345703125,801.6885986328125,1194.2847900390625,363.1812744140625,112.99574279785156,785.1480102539062
2024-08-26,1169.30078125,809.0392456054688,1204.009765625,362.0825500488281,112.88884735107422,784.859130859375
2024-08-27,1180.2413330078125,807.9539184570312,1216.9598388671875,360.2546691894531,112.69447326660156,785.677734375
2024-08-28,1169.9500732421875,807.6332397460938,1214.47900390625,357.8474426269531,111.51854705810547,779.41845703125
2024-08-29,1174.3963623046875,808.3485717773438,1212.5439453125,355.0406799316406,112.27658081054688,784.3295288085938
2024-08-30,1174.2464599609375,807.5346069335938,1219.7879638671875,355.7498474121094,113.28729248046875,785.3887939453125
2024-09-02,1187.784912109375,802.6258544921875,1220.5322265625,355.63995361328125,113.23870086669922,791.6961669921875
2024-09-03,1190.58251953125,807.756591796875,1238.1463623046875,356.3491516113281,112.33488464355469,794.2479858398438
2024-09-04,1176.6943359375,809.951904296875,1226.88330078125,356.3491516113281,109.759521484375,786.2554321289062
2024-09-05,1179.5419921875,811.7525024414062,1226.486328125,355.18048095703125,110.2065658569336,788.422119140625
2024-09-06,1157.760498046875,807.5592041015625,1198.899169921875,352.42364501953125,106.90231323242188,753.514892578125
2024-09-09,1169.8502197265625,812.2705688476562,1225.5435791015625,357.61767578125,106.542724609375,755.2000732421875
2024-09-10,1186.1861572265625,814.1698608398438,1227.8260498046875,357.9073486328125,106.50385284423828,753.6593017578125
2024-09-11,1185.087158203125,810.9879150390625,1226.88330078125,357.4378967285156,104.433837890625,740.1296997070312
2024-09-12,1202.3223876953125,822.1865234375,1242.5623779296875,365.069091796875,105.65835571289062,758.5704345703125
2024-09-13,1216.410400390625,821.8658447265625,1240.7760009765625,363.6507263183594,107.9810562133789,761.5555419921875
2024-09-16,1229.9989013671875,824.3324584960938,1253.1802978515625,365.8382263183594,107.68949890136719,756.451904296875
2024-09-17,1231.0478515625,823.2718505859375,1258.39013671875,368.9046630859375,104.98778533935547,753.9000854492188
2024-09-18,1239.3907470703125,836.0984497070312,1278.485107421875,367.5162658691406,105.68751525878906,763.3851928710938
2024-09-19,1241.6387939453125,842.8571166992188,1282.107177734375,373.9588623046875,104.22975158691406,760.6889038085938
2024-09-20,1243.9368896484375,858.989013671875,1328.201416015625,380.4613342285156,105.35709381103516,752.7445068359375
2024-09-23,1245.7353515625,868.1651000976562,1311.7781982421875,386.494384765625,108.36978912353516,772.1480712890625
2024-09-24,1238.4915771484375,872.2350463867188,1308.50341796875,382.4989929199219,104.79341888427734,768.6814575195312
2024-09-25,1267.01708984375,877.686279296875,1313.7132568359375,379.1528625488281,102.09171295166016,763.7222290039062
2024-09-26,1276.009521484375,879.8323364257812,1318.87353515625,380.0218505859375,104.26863098144531,772.1480712890625
2024-09-27,1272.0628662109375,864.6376953125,1296.5953369140625,374.0587158203125,106.14427947998047,772.91845703125
2024-09-30,1231.1478271484375,854.47509765625,1263.252685546875,370.3630065917969,104.19087982177734,758.71484375
2024-10-01,1225.6025390625,851.5890502929688,1264.6419677734375,375.4471435546875,102.24720001220703,767.4296264648438
